kana,english
ペットボトル,plastic bottle
あるみかん,aluminum can
ごみ・ゴミ,garbage
さいせいし,recycled paper
しげんごみ,recyclable garbage
ちきゅう,earth
おんだんか,warming
りょう,amount
ちきゅうおんだんか,global warming
そだいごみ,oversized garbage
れい,example
しげんごみ,resources
リサイクルする,recycle
リデュースする,reduce
リユースする,reuse
コンポストする,compost
すてる,throw away
（〜を）へらす,decrease (trans.)
（〜を）へる,decrease (intrans.)
（〜を）ふやす,increase (trans.)
（〜を）ふえる,increase (intrans.)
（〜が）いる・いります,need
（〜が）やくにたつ,be useful
あらわす,show/display
たすける,save/rescue
まもる,protect
ひつよう,necessary
ふべん,inconvenient
べんり,convenient
かねん,burnable
ふねん,non-burnable
げんざい,modern
さいきん,recently
いじょう,more than
なるべく,as much as possible
いっぽう,on the other hand
